Date,Open,High,Low,Close,Adj Close,Volume,MA,Upper_Band1,Lower_Band1,Upper_Band2,Lower_Band2,Signal,Position,TPSLSignal,Returns,Cumulative_Returns,Open_Return
2019-01-02,3102.080078125,3123.072021484375,2908.159912109375,2927.360107421875,2927.360107421875,32108,,,,,,0,0,,,,
2019-01-03,2982.39990234375,3114.239990234375,2962.56005859375,3048.9599609375,3048.9599609375,15936,,,,,,0,0,,-0.0,1.0,-0.03858062099208881
2019-01-04,2931.840087890625,2945.919921875,2798.719970703125,2807.0400390625,2807.0400390625,20398,,,,,,0,0,,-0.0,1.0,-0.016952728040727227
2019-01-07,2785.919921875,2825.087890625,2710.39990234375,2744.320068359375,2744.320068359375,40055,,,,,,0,0,,-0.0,1.0,-0.04977084753643923
2019-01-08,2696.9599609375,2791.679931640625,2680.320068359375,2688.639892578125,2688.639892578125,14770,,,,,,0,0,,-0.0,1.0,-0.03193198779296835
2019-01-09,2666.8798828125,2687.360107421875,2595.840087890625,2625.280029296875,2625.280029296875,62386,,,,,,0,0,,-0.0,1.0,-0.01115332765805832
2019-01-10,2672.0,2705.919921875,2597.760009765625,2597.760009765625,2597.760009765625,28311,,,,,,0,0,,0.0,1.0,0.0019198904384476467
2019-01-11,2636.800048828125,2644.47998046875,2512.639892578125,2513.280029296875,2513.280029296875,85358,,,,,,0,0,,-0.0,1.0,-0.013173634420611924
2019-01-14,2585.60009765625,2586.239990234375,2485.1201171875,2520.320068359375,2520.320068359375,18545,,,,,,0,0,,-0.0,1.0,-0.019417456850636006
2019-01-15,2499.199951171875,2510.080078125,2407.679931640625,2410.8798828125,2410.8798828125,35283,,,,,,0,0,,-0.0,1.0,-0.033415896975983794
2019-01-16,2385.919921875,2459.52001953125,2376.320068359375,2459.52001953125,2459.52001953125,72688,,,,,,0,0,,-0.0,1.0,-0.045326517089502194
2019-01-17,2476.800048828125,2477.43994140625,2394.8798828125,2432.0,2432.0,38989,,,,,,0,0,,0.0,1.0,0.03809018321189339
2019-01-18,2364.159912109375,2399.360107421875,2325.760009765625,2371.840087890625,2371.840087890625,40542,,,,,,0,0,,-0.0,1.0,-0.04547809047890028
2019-01-22,2400.0,2615.679931640625,2393.60009765625,2580.47998046875,2580.47998046875,92678,,,,,,0,0,,0.0,1.0,0.015159756202213659
2019-01-23,2541.43994140625,2719.360107421875,2534.39990234375,2566.39990234375,2566.39990234375,100403,,,,,,0,0,,0.0,1.0,0.05893330891927073
2019-01-24,2569.60009765625,2600.9599609375,2441.60009765625,2475.52001953125,2475.52001953125,114259,,,,,,0,0,,0.0,1.0,0.01108039414632711
2019-01-25,2421.1201171875,2437.1201171875,2376.320068359375,2382.719970703125,2382.719970703125,189888,,,,,,0,0,,-0.0,1.0,-0.05778330278091892
2019-01-28,2469.760009765625,2559.360107421875,2467.199951171875,2481.280029296875,2481.280029296875,310367,,,,,,0,0,,0.0,1.0,0.020089830418916765
2019-01-29,2451.840087890625,2515.199951171875,2431.679931640625,2474.239990234375,2474.239990234375,249119,,,,,,0,0,,-0.0,1.0,-0.00725573408110225
2019-01-30,2433.919921875,2478.080078125,2360.9599609375,2365.43994140625,2365.43994140625,327552,2573.6640014648438,2760.86618865924,2386.4618142704476,2948.0683758536366,2199.259627076051,0,0,,-0.0,1.0,-0.007308864107463897
2019-01-31,2361.60009765625,2362.8798828125,2267.52001953125,2267.52001953125,2267.52001953125,345211,2540.6719970703125,2720.2478532224313,2361.0961409181937,2899.8237093745506,2181.5202847660744,0,0,,-0.0,1.0,-0.029713312902684752
2019-02-01,2261.1201171875,2281.60009765625,2233.60009765625,2245.760009765625,2245.760009765625,390572,2500.511999511719,2647.241645658384,2353.7823533650535,2793.97129180505,2207.0527072183877,0,0,,-0.0,1.0,-0.042547415444499026
2019-02-04,2235.52001953125,2250.239990234375,2165.760009765625,2176.0,2176.0,288778,2468.959997558594,2614.145942644531,2323.774052472657,2759.3318877304673,2178.5881073867204,0,0,,-0.0,1.0,-0.011321865416018984
2019-02-05,2156.800048828125,2174.719970703125,2109.43994140625,2157.43994140625,2157.43994140625,323081,2439.6159912109374,2585.525187375531,2293.706795046344,2731.4343835401246,2147.79759888175,0,0,,-0.0,1.0,-0.03521327029745469
2019-02-06,2140.159912109375,2170.239990234375,2117.1201171875,2145.919921875,2145.919921875,262475,2412.4799926757814,2560.095711127051,2264.864274224512,2707.71142957832,2117.248555773243,0,0,,-0.0,1.0,-0.007715196746119868
2019-02-07,2211.199951171875,2304.639892578125,2177.280029296875,2217.60009765625,2217.60009765625,465414,2392.09599609375,2536.9010879472958,2247.290904240204,2681.7061798008417,2102.485812386658,0,0,,0.0,1.0,0.03319379951962653
2019-02-08,2268.159912109375,2289.280029296875,2186.239990234375,2190.719970703125,2190.719970703125,300423,2371.743994140625,2514.7147889720877,2228.7731993091625,2657.685583803551,2085.8024044776994,0,0,,0.0,1.0,0.025759751354603955
2019-02-11,2161.280029296875,2200.320068359375,2145.280029296875,2167.0400390625,2167.0400390625,212477,2354.431994628906,2500.2959306419384,2208.5680586158737,2646.1598666549703,2062.704122602842,0,0,,-0.0,1.0,-0.04712184632215921
2019-02-12,2116.47998046875,2142.080078125,2102.39990234375,2128.0,2128.0,327608,2334.8159912109377,2483.5485863251592,2186.083396096716,2632.281181439381,2037.3508009824943,0,0,,-0.0,1.0,-0.020728479521785803
2019-02-13,2110.719970703125,2147.199951171875,2100.47998046875,2122.8798828125,2122.8798828125,287720,2320.4159912109376,2475.2147248138613,2165.617257608014,2630.013458416785,2010.8185240050905,0,0,,-0.0,1.0,-0.0027215044880081196
2019-02-14,2171.52001953125,2210.56005859375,2120.320068359375,2161.280029296875,2161.280029296875,411405,2305.5039916992187,2460.5620928075205,2150.445890590917,2615.6201939158223,1995.387789482615,0,0,,0.0,1.0,0.028805360100833788
2019-02-15,2117.760009765625,2134.39990234375,2081.60009765625,2085.760009765625,2085.760009765625,376513,2288.1919921875,2447.649848458623,2128.734135916377,2607.107704729746,1969.2762796452541,-1,0,,-0.0,1.0,-0.024756856617527245
2019-02-19,2122.8798828125,2129.280029296875,2064.0,2092.159912109375,2092.159912109375,249556,2274.2079833984376,2438.1447287533724,2110.2712380435028,2602.0814741083072,1946.334492688568,0,-1,,-0.002417588878468546,0.9975824111215315,0.002417588878468546
2019-02-20,2077.43994140625,2077.43994140625,2006.5279541015625,2008.3199462890625,2008.3199462890625,361075,2245.599981689453,2403.072691092271,2088.1272722866356,2560.545400495088,1930.6545628838182,0,-1,,0.021404857511791442,1.0189355204878572,-0.021404857511791442
2019-02-21,2017.280029296875,2066.239990234375,1981.887939453125,2034.56005859375,2034.56005859375,370278,2219.007989501953,2363.85600585831,2074.1599731455963,2508.704022214666,1929.3119567892397,0,-1,,0.028958676932268834,1.0484425450404782,-0.028958676932268834
2019-02-22,2000.0,2006.4000244140625,1953.280029296875,1957.760009765625,1957.760009765625,302864,2193.119989013672,2335.9644614830404,2050.275516544303,2478.8089339524095,1907.4310440749343,0,-1,,0.008566004246271186,1.0574235083332664,-0.008566004246271186
2019-02-25,1913.5999755859375,1994.8800048828125,1891.8399658203125,1992.9599609375,1992.9599609375,319381,2173.6319885253906,2315.8339508162744,2031.4300262345068,2458.035913107158,1889.228063943623,0,-1,,0.04320001220703129,1.1031042168012652,-0.04320001220703129
2019-02-26,2023.0400390625,2035.199951171875,1976.9599609375,2009.5999755859375,2009.5999755859375,236500,2150.047985839844,2276.817906756103,2023.2780649235845,2403.587827672363,1896.508144007325,0,-1,,-0.057190669352434664,1.0400169482769077,0.057190669352434664
2019-02-27,2032.6400146484375,2085.1201171875,1994.8800048828125,2011.52001953125,2011.52001953125,307789,2126.9119873046875,2231.7240239038088,2022.0999507055665,2336.5360605029296,1917.2879141064452,0,-1,,-0.0047453215955064465,1.0350817333925566,0.0047453215955064465
2019-02-28,2012.800048828125,2019.8399658203125,1971.199951171875,2010.239990234375,2010.239990234375,236413,2109.151989746094,2200.66963746957,2017.6343420226178,2292.187285193046,1926.1166942991417,0,-1,,0.009760688403914974,1.0451848436647855,-0.009760688403914974
2019-03-01,1957.1199951171875,1995.52001953125,1918.719970703125,1918.719970703125,1918.719970703125,336428,2091.7119873046877,2184.6848085646075,1998.739166044768,2277.6576298245272,1905.7663447848481,0,-1,,0.02766298308833759,1.0740977743192712,-0.02766298308833759
2019-03-04,1896.9599609375,2067.199951171875,1873.280029296875,1965.43994140625,1965.43994140625,698753,2077.6959838867188,2167.291517634237,1988.1004501392003,2256.8870513817556,1898.504916391682,0,-1,,0.030739062668503014,1.1071145331161707,-0.030739062668503014
2019-03-05,1960.3199462890625,2008.9599609375,1950.719970703125,1976.9599609375,1976.9599609375,308233,2067.7439819335937,2156.898801020121,1978.5891628470665,2246.053620106648,1889.4343437605394,0,-1,,-0.033400802682334474,1.0701360190488127,0.033400802682334474
2019-03-06,1976.9599609375,2048.0,1975.0400390625,2035.199951171875,2035.199951171875,402467,2061.631982421875,2148.4741476572362,1974.7898171865136,2235.3163128925976,1887.947651951152,0,-1,,-0.008488417760548428,1.0610522574585162,0.008488417760548428
2019-03-07,2059.52001953125,2153.60009765625,2055.679931640625,2112.639892578125,2112.639892578125,620270,2059.967980957031,2145.4177642206855,1974.5181976933768,2230.86754748434,1889.0684144297222,0,0,SSL,0.0,1.0610522574585162,0.041761118194117985
2019-03-08,2177.280029296875,2213.760009765625,2124.159912109375,2126.719970703125,2126.719970703125,609606,2055.423974609375,2134.206362362817,1976.641586855933,2212.988750116259,1897.8591991024907,0,0,,0.0,1.0610522574585162,0.05717837585886998
